customer_id,signup_date,region,acquisition_channel
C0001,11/23/2024,East,Social
C0002,2024-04-24,North,Email
C0003,2025-01-14,North,Email
C0004,08/04/2024,North,Social
C0005,2024-04-29,North,Email
C0006,2024-04-11,Central,Search
C0007,2024-04-22,East,Social
C0008,2025-01-23,West,Search
C0009,2024-05-22,East,Social
C0010,2024-02-17,East,Search
C0011,2024-11-05,North,Email
C0012,2024-08-23,West,Social
C0013,2024-10-09,Central,Search
C0014,2024-10-22,North,Social
C0015,2024-12-04,East,Social
C0016,2025-03-13,North,Search
C0017,2024-05-22,East,Social
C0018,2024-07-08,East,Email
C0019,2024-12-15,Central,Email
C0020,2024-03-28,South,Social
C0021,2024-08-24,Central,Social
C0022,2024-12-16,North,Social
C0023,02/24/2025,East,Search
C0024,05/17/2024,Central,Email
C0025,2024-06-10,West,Search
C0026,2024-11-25,East,Social
C0027,2024-05-06,Central,Search
C0028,2025-01-17,Central,Search
C0029,2024-07-04,South,Email
C0030,09/09/2024,North,Social
C0031,2024-03-19,West,Email
C0032,2024-02-02,Central,Search
C0033,2024-09-27,Central,Social
C0034,2024-12-14,Central,Search
C0035,2025-01-28,North,Search
C0036,2024-08-10,North,Email
C0037,2025-03-24,Central,Social
C0038,2024-09-16,East,Email
C0039,2024-09-16,South,Search
C0040,2025-01-25,Central,Social
C0041,2024-11-02,North,Social
C0042,2024-07-04,East,Social
C0043,2024-01-30,Central,Social
C0044,2024-02-13,North,Email
C0045,2025-01-27,West,Email
C0046,2024-03-25,Central,Search
C0047,2024-04-18,South,Email
C0048,2024-06-08,East,Search
C0049,2024-09-21,South,Social
C0050,2024-02-02,Central,Email
C0051,2024-04-27,North,Social
C0052,2024-12-28,South,Social
C0053,2024-01-17,North,Email
C0054,2024-05-01,West,Social
C0055,2024-10-03,Central,Email
C0056,2024-08-30,West,Search
C0057,04/07/2024,West,Search
C0058,2024-08-04,North,Email
C0059,2024-11-30,North,Social
C0060,2024-07-25,North,Social
C0061,2024-04-08,West,Social
C0062,2024-08-04,West,Social
C0063,2025-03-23,West,Email
C0064,02/20/2024,Central,Social
C0065,2024-02-17,South,Social
C0066,2024-07-27,South,Search
C0067,2024-01-31,North,Search
C0068,2024-05-15,West,Search
C0069,2024-08-04,Central,Email
C0070,2025-01-02,South,Search
C0071,2024-04-21,Central,Email
C0072,10/04/2024,East,Social
C0073,2024-01-26,Central,Email
C0074,03/21/2024,Central,Social
C0075,2025-03-11,Central,Social
C0076,2024-12-11,West,Social
C0077,2024-10-18,Central,Social
C0078,11/13/2024,Central,Email
C0079,2024-09-24,East,Social
C0080,2024-12-08,South,Search
C0081,2024-07-21,East,Search
C0082,2024-06-10,North,Social
C0083,2024-08-22,Central,Social
C0084,2024-02-07,Central,Search
C0085,2024-03-08,North,Social
C0086,2024-07-08,West,Email
C0087,2024-12-26,Central,Social
C0088,2024-12-07,East,Email
C0089,2024-02-23,South,Search
C0090,2024-02-29,Central,Social
C0091,2024-05-19,South,Email
C0092,2024-06-24,East,Email
C0093,2024-09-07,North,Social
C0094,2024-11-20,East,Social
C0095,2024-01-02,South,Email
C0096,2024-05-14,West,Email
C0097,2024-12-27,North,Social
C0098,2024-02-08,South,Email
C0099,2024-01-19,Central,Email
C0100,2024-03-16,North,Search
C0101,2024-07-05,North,Search
C0102,2024-04-17,North,Search
C0103,2025-02-03,West,Email
C0104,2025-01-18,South,Social
C0105,2025-02-13,West,Social
C0106,2024-04-01,East,Search
C0107,2025-02-14,South,Search
C0108,2024-03-22,North,Search
C0109,03/22/2025,West,Social
C0110,2024-04-12,West,Search
C0111,2024-06-05,South,Social
C0112,2024-01-13,West,Search
C0113,2024-05-22,East,Search
C0114,2024-11-24,Central,Search
C0115,01/15/2024,East,Social
C0116,2024-10-24,East,Social
C0117,2024-02-25,East,Email
C0118,2025-02-06,Central,Email
C0119,2024-02-29,Central,Social
C0120,05/10/2024,West,Social
C0121,2024-09-23,Central,Email
C0122,2025-01-03,South,Search
C0123,08/08/2024,East,Email
C0124,2024-06-09,North,Email
C0125,2024-06-02,West,Search
C0126,2024-07-25,Central,Social
C0127,2024-04-08,West,Email
C0128,2025-01-18,Central,Email
C0129,2024-06-03,North,Search
C0130,2024-05-26,Central,Email
C0131,2024-12-01,West,Search
C0132,2024-12-11,West,Email
C0133,2024-03-27,East,Email
C0134,2024-12-05,East,Social
C0135,2025-02-23,South,Email
C0136,2024-06-07,South,Social
C0137,01/13/2024,West,Email
C0138,2025-03-11,West,Search
C0139,2024-11-18,West,Search
C0140,2024-07-23,North,Social
C0141,2025-02-02,South,Email
C0142,2024-09-22,Central,Social
C0143,2025-03-10,South,Search
C0144,2024-12-07,Central,Email
C0145,2024-06-11,West,Email
C0146,2025-02-21,Central,Search
C0147,2025-03-01,West,Social
C0148,2025-01-15,West,Search
C0149,2025-01-19,East,Email
C0150,2024-09-05,East,Search
C0151,2024-02-09,South,Search
C0152,2024-06-20,Central,Social
C0153,2024-03-11,West,Email
C0154,2024-03-19,North,Search
C0155,2024-07-27,West,Search
C0156,2024-02-01,West,Search
C0157,2025-01-29,North,Email
C0158,2024-07-13,East,Search
C0159,2025-01-20,West,Email
C0160,2025-01-17,Central,Social
C0161,2024-09-06,West,Search
C0162,2024-01-15,West,Email
C0163,2024-03-25,South,Email
C0164,09/30/2024,West,Email
C0165,2024-10-15,North,Email
C0166,2024-08-07,West,Social
C0167,2024-01-26,East,Social
C0168,2024-08-20,West,Search
C0169,2025-01-20,West,Search
C0170,03/03/2025,North,Email
C0171,10/03/2024,East,Social
C0172,11/28/2024,North,Social
C0173,2024-05-06,North,Email
C0174,2024-03-19,West,Email
C0175,2024-02-28,South,Search
C0176,2024-12-24,East,Social
C0177,2024-11-06,North,Social
C0178,06/08/2024,North,Search
C0179,2024-10-21,West,Search
C0180,2025-01-01,Central,Email
